"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013876","33.56556","-86.745","187.5","2000-03-25","0.35","0.0","0.0","66","77","54","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-03-26","0.00","0.0","0.0","64","71","57","0.0","    1","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-03-27","0.48","0.0","0.0","55","67","43","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-03-28","0.00","0.0","0.0","58","75","40","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-03-29","0.05","0.0","0.0","54","62","45","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-03-30","0.99","0.0","0.0","60","71","49","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-03-31","0.00","0.0","0.0","61","74","47","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-01","0.27","0.0","0.0","66","78","53","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-02","3.24","0.0","0.0","68","76","59","0.0","    1","    1","    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-03","2.37","0.0","0.0","62","70","53","0.0","    1","    1","    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-04","0.11","0.0","0.0","48","58","38","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-05","0.00","0.0","0.0","63","68","34","0.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-06","0.00","0.0","0.0","64","77","51","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-07","0.00","0.0","0.0","66","76","56","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-08","0.19","0.0","0.0","50","65","35","0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-09","0.00","0.0","0.0","47","63","30","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-10","0.00","0.0","0.0","55","71","38","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-04-11","0.00","0.0","0.0","63","72","54","0.0",,,,,,,,,,,,,,,,,,,,,
